instance,runtime,objective,best
1,0:10:00.003520,4125,False
2,0:10:00.007860,5000,False
3,0:07:29.015958,4750,True
4,0:10:00.004871,4750,False
5,0:00:00.247858,2875,True
6,0:10:00.005422,4750,False
7,0:00:00.239816,3500,True
8,0:10:00.004340,4750,False
9,0:00:00.248927,2250,True
10,0:00:10.425212,2875,True
