instance,runtime,objective,best
1,0:00:00.356240,4125,True
2,0:00:01.769880,6000,True
3,0:00:00.347532,4750,True
4,0:00:00.901790,4750,True
5,0:00:00.183223,2875,True
6,0:00:00.358801,4750,True
7,0:00:00.182037,3500,True
8,0:00:00.254180,4750,True
9,0:00:00.181729,2250,True
10,0:00:00.216364,2875,True
