instance,runtime,objective,best
0,0:05:00.313444,6.0,False
1,0:00:04.389226,0.0,True
2,0:00:02.861201,10.0,True
3,0:00:02.068775,0.0,True
4,0:05:00.314028,7.875,False
5,0:00:09.860152,5.5,True
6,0:00:08.158774,10.0,True
7,0:00:56.434382,10.0,True
8,0:05:00.300045,8.75,False
9,0:00:02.779552,0.0,True
