instance,runtime,objective,best
1,0:10:00.006759,4125,False
2,0:10:00.002605,5000,False
3,0:10:00.005150,4375,False
4,0:10:00.005091,4375,False
5,0:00:00.263530,2875,True
6,0:10:00.004033,4375,False
7,0:00:00.257196,3500,True
8,0:10:00.004189,4375,False
9,0:00:00.252809,2250,True
10,0:00:16.816297,2875,True
