instance,runtime,objective,best
1,0:01:51.317926,4750,True
2,0:08:45.588291,4750,True
3,0:00:24.209196,3500,True
4,0:06:27.243176,4125,True
5,0:00:30.514227,2250,True
6,0:01:25.107691,4750,True
7,0:01:41.711813,4750,True
8,0:10:00,4125,False
9,0:06:32.183119,4750,True
10,0:00:24.242199,3500,True
