# gecode (channeled, unrolled)

1;0:00:00.74;0.0;0;0;0:00:00.32;0:10:00.07;0:10:00.07;0:00:00.31
1;0:00:00.74;3.0;1;1;0:00:00.32;0:10:00.07;0:10:00.07;0:00:00.31
1;0:00:00.75;6.0;2;2;0:00:00.32;0:10:00.07;0:10:00.07;0:00:00.31
1;0:00:00.75;9.0;3;3;0:00:00.32;0:10:00.07;0:10:00.07;0:00:00.31
1;0:00:00.76;12.0;4;4;0:00:00.32;0:10:00.07;0:10:00.07;0:00:00.31
1;0:00:08.18;15.0;5;5;0:00:00.32;0:10:00.07;0:10:00.07;0:00:00.31
1;0:00:13.50;18.0;6;6;0:00:00.32;0:10:00.07;0:10:00.07;0:00:00.31

2;0:00:00.71;0.0;0;0;0:00:00.31;0:10:00.06;0:10:00.07;0:00:00.31
2;0:00:00.71;3.0;1;1;0:00:00.31;0:10:00.06;0:10:00.07;0:00:00.31

3;0:00:00.71;0.0;0;0;0:00:00.31;0:10:00.06;0:10:00.07;0:00:00.31
3;0:00:00.72;9.0;3;1;0:00:00.31;0:10:00.06;0:10:00.07;0:00:00.31
3;0:00:00.72;12.0;4;1;0:00:00.31;0:10:00.06;0:10:00.07;0:00:00.31
3;0:05:26.94;14.0;6;2;0:00:00.31;0:10:00.06;0:10:00.07;0:00:00.31
3;0:05:27.80;15.0;7;2;0:00:00.31;0:10:00.06;0:10:00.07;0:00:00.31
3;0:05:29.17;16.0;8;3;0:00:00.31;0:10:00.06;0:10:00.07;0:00:00.31
3;0:05:29.21;16.0;8;2;0:00:00.31;0:10:00.06;0:10:00.07;0:00:00.31
3;0:05:30.00;16.75;9;2;0:00:00.31;0:10:00.06;0:10:00.07;0:00:00.31
3;0:05:30.31;17.75;10;3;0:00:00.31;0:10:00.06;0:10:00.07;0:00:00.31
3;0:05:30.31;17.75;10;2;0:00:00.31;0:10:00.06;0:10:00.07;0:00:00.31
3;0:05:46.28;18.5;11;3;0:00:00.31;0:10:00.06;0:10:00.07;0:00:00.31

4;0:00:00.72;0.0;0;0;0:00:00.30;0:10:00.07;0:10:00.07;0:00:00.31
4;0:00:00.72;3.0;1;1;0:00:00.30;0:10:00.07;0:10:00.07;0:00:00.31
4;0:00:00.72;6.0;2;2;0:00:00.30;0:10:00.07;0:10:00.07;0:00:00.31
4;0:00:00.74;9.0;3;1;0:00:00.30;0:10:00.07;0:10:00.07;0:00:00.31
4;0:00:00.74;12.0;4;1;0:00:00.30;0:10:00.07;0:10:00.07;0:00:00.31
4;0:00:00.75;15.0;5;2;0:00:00.30;0:10:00.07;0:10:00.07;0:00:00.31
4;0:00:01.16;16.0;6;2;0:00:00.30;0:10:00.07;0:10:00.07;0:00:00.31
4;0:00:01.39;17.0;7;3;0:00:00.30;0:10:00.07;0:10:00.07;0:00:00.31
4;0:00:01.52;17.0;7;2;0:00:00.30;0:10:00.07;0:10:00.07;0:00:00.31
4;0:00:01.52;18.0;8;3;0:00:00.30;0:10:00.07;0:10:00.07;0:00:00.31
4;0:00:01.52;18.0;8;2;0:00:00.30;0:10:00.07;0:10:00.07;0:00:00.31
4;0:00:04.41;19.0;9;3;0:00:00.30;0:10:00.07;0:10:00.07;0:00:00.31
4;0:00:05.66;19.0;9;2;0:00:00.30;0:10:00.07;0:10:00.07;0:00:00.31
4;0:00:45.66;20.0;10;4;0:00:00.30;0:10:00.07;0:10:00.07;0:00:00.31
4;0:01:26.60;20.0;10;3;0:00:00.30;0:10:00.07;0:10:00.07;0:00:00.31
4;0:01:48.04;20.0;10;2;0:00:00.30;0:10:00.07;0:10:00.07;0:00:00.31
4;0:03:25.97;20.5;11;4;0:00:00.30;0:10:00.07;0:10:00.07;0:00:00.31
4;0:03:31.86;20.75;11;4;0:00:00.30;0:10:00.07;0:10:00.07;0:00:00.31
4;0:03:31.86;20.75;11;3;0:00:00.30;0:10:00.07;0:10:00.07;0:00:00.31
4;0:08:04.60;21.5;12;5;0:00:00.30;0:10:00.07;0:10:00.07;0:00:00.31
4;0:08:04.60;21.75;12;4;0:00:00.30;0:10:00.07;0:10:00.07;0:00:00.31
4;0:08:04.60;21.75;12;3;0:00:00.30;0:10:00.07;0:10:00.07;0:00:00.31
4;0:08:31.35;22.5;13;3;0:00:00.30;0:10:00.07;0:10:00.07;0:00:00.31

5;0:00:00.71;0.0;0;0;0:00:00.30;0:10:00.07;0:10:00.07;0:00:00.31
5;0:00:00.72;7.5;5;1;0:00:00.30;0:10:00.07;0:10:00.07;0:00:00.31
5;0:00:00.73;8.5;6;1;0:00:00.30;0:10:00.07;0:10:00.07;0:00:00.31
