instance,runtime,objective,best
1,0:10:00.034771,22500,False
2,0:10:00.034157,8250,False
3,0:01:02.038378,21125,False
4,0:00:02.265325,24000,True
5,0:00:00.776189,16375,False
6,0:10:00.033020,16250,False
7,0:10:00.075789,24875,False
8,0:00:00.464407,13875,True
9,0:00:01.295738,22250,False
10,0:10:00.034173,13500,False
11,0:00:00.542203,11250,True
12,0:10:00.034832,20000,False
13,0:10:00.034437,20375,False
14,0:10:00.033358,34125,False
15,0:10:00.131325,23875,False
