# gecode (channeled)

1;0:00:00.62;0.0;0;0;0:00:00.30;0:10:00.03;0:06:04.52;0:00:00.27
1;0:00:00.63;3.0;1;1;0:00:00.30;0:10:00.03;0:06:04.52;0:00:00.27
1;0:00:00.64;6.0;2;2;0:00:00.30;0:10:00.03;0:06:04.52;0:00:00.27
1;0:00:00.64;9.0;3;3;0:00:00.30;0:10:00.03;0:06:04.52;0:00:00.27
1;0:00:00.64;12.0;4;4;0:00:00.30;0:10:00.03;0:06:04.52;0:00:00.27
1;0:00:00.65;15.0;5;5;0:00:00.30;0:10:00.03;0:06:04.52;0:00:00.27
1;0:00:00.67;18.0;6;6;0:00:00.30;0:10:00.03;0:06:04.52;0:00:00.27
1;0:00:00.99;21.0;10;7;0:00:00.30;0:10:00.03;0:06:04.52;0:00:00.27
1;0:00:01.07;21.75;11;7;0:00:00.30;0:10:00.03;0:06:04.52;0:00:00.27
1;0:00:01.08;22.5;12;7;0:00:00.30;0:10:00.03;0:06:04.52;0:00:00.27
2;0:00:00.59;0.0;0;0;0:00:00.27;0:10:00.03;0:06:04.52;0:00:00.27
2;0:00:00.60;3.0;1;1;0:00:00.27;0:10:00.03;0:06:04.52;0:00:00.27
2;0:00:00.78;4.125;4;2;0:00:00.27;0:10:00.03;0:06:04.52;0:00:00.27
2;0:00:00.78;4.5;5;2;0:00:00.27;0:10:00.03;0:06:04.52;0:00:00.27
2;0:00:01.33;5.625;6;2;0:00:00.27;0:10:00.03;0:06:04.52;0:00:00.27
2;0:00:01.34;6.0;6;2;0:00:00.27;0:10:00.03;0:06:04.52;0:00:00.27
2;0:00:01.34;6.75;7;2;0:00:00.27;0:10:00.03;0:06:04.52;0:00:00.27
2;0:00:01.39;7.125;8;3;0:00:00.27;0:10:00.03;0:06:04.52;0:00:00.27
2;0:00:01.46;7.875;9;3;0:00:00.27;0:10:00.03;0:06:04.52;0:00:00.27
2;0:00:01.59;8.25;10;3;0:00:00.27;0:10:00.03;0:06:04.52;0:00:00.27
2;0:00:01.66;8.25;10;3;0:00:00.27;0:10:00.03;0:06:04.52;0:00:00.27
3;0:00:00.59;0.0;0;0;0:00:00.27;0:01:02.04;0:06:04.52;0:00:00.27
3;0:00:00.61;1.75;2;1;0:00:00.27;0:01:02.04;0:06:04.52;0:00:00.27
3;0:00:00.61;2.0;2;1;0:00:00.27;0:01:02.04;0:06:04.52;0:00:00.27
3;0:00:00.63;2.75;3;1;0:00:00.27;0:01:02.04;0:06:04.52;0:00:00.27
3;0:00:00.63;3.0;3;1;0:00:00.27;0:01:02.04;0:06:04.52;0:00:00.27
3;0:00:00.63;3.75;4;1;0:00:00.27;0:01:02.04;0:06:04.52;0:00:00.27
3;0:00:00.64;4.0;4;1;0:00:00.27;0:01:02.04;0:06:04.52;0:00:00.27
3;0:00:00.65;6.75;5;1;0:00:00.27;0:01:02.04;0:06:04.52;0:00:00.27
3;0:00:00.65;7.125;6;1;0:00:00.27;0:01:02.04;0:06:04.52;0:00:00.27
3;0:00:00.65;10.125;7;2;0:00:00.27;0:01:02.04;0:06:04.52;0:00:00.27
3;0:00:00.66;10.75;5;2;0:00:00.27;0:01:02.04;0:06:04.52;0:00:00.27
3;0:00:00.66;11.75;6;2;0:00:00.27;0:01:02.04;0:06:04.52;0:00:00.27
3;0:00:00.69;11.875;7;2;0:00:00.27;0:01:02.04;0:06:04.52;0:00:00.27
3;0:00:00.74;14.125;7;2;0:00:00.27;0:01:02.04;0:06:04.52;0:00:00.27
3;0:00:00.75;15.125;8;3;0:00:00.27;0:01:02.04;0:06:04.52;0:00:00.27
