# clingo

1;0:00:07.69;0.0;0;0;0:00:05.76;0:00:06.14;0:06:58.62
1;0:00:07.69;3.0;1;1;0:00:05.76;0:00:06.14;0:06:58.62
1;0:00:07.69;6.0;2;2;0:00:05.76;0:00:06.14;0:06:58.62
2;;;;;?;0:10:00.00;0:06:58.62
3;0:05:19.79;0.0;0;0;?;0:10:00.00;0:06:58.62
3;0:05:19.79;1.5;1;1;?;0:10:00.00;0:06:58.62
3;0:05:19.79;2.25;2;1;?;0:10:00.00;0:06:58.62
3;0:05:19.80;3.0;3;2;?;0:10:00.00;0:06:58.62
3;0:05:19.80;3.375;4;1;?;0:10:00.00;0:06:58.62
3;0:05:19.80;3.75;4;2;?;0:10:00.00;0:06:58.62
3;0:05:19.80;4.0;4;2;?;0:10:00.00;0:06:58.62
3;0:05:19.80;4.75;5;2;?;0:10:00.00;0:06:58.62
3;0:05:19.80;5.5;6;2;?;0:10:00.00;0:06:58.62
3;0:05:19.80;5.75;6;2;?;0:10:00.00;0:06:58.62
3;0:05:19.81;6.625;7;2;?;0:10:00.00;0:06:58.62
3;0:05:19.82;7.375;8;3;?;0:10:00.00;0:06:58.62
3;0:05:19.84;8.125;9;4;?;0:10:00.00;0:06:58.62
3;0:05:19.85;8.875;10;5;?;0:10:00.00;0:06:58.62
3;0:05:19.86;9.25;11;5;?;0:10:00.00;0:06:58.62
3;0:05:19.86;9.25;11;4;?;0:10:00.00;0:06:58.62
3;0:05:19.87;9.625;12;4;?;0:10:00.00;0:06:58.62
3;0:05:19.88;9.625;12;3;?;0:10:00.00;0:06:58.62
4;0:03:15.68;0.0;0;0;?;0:10:00.00;0:06:58.62
4;0:03:15.69;3.0;4;1;?;0:10:00.00;0:06:58.62
4;0:03:15.69;3.75;5;1;?;0:10:00.00;0:06:58.62
4;0:03:15.69;4.5;6;1;?;0:10:00.00;0:06:58.62
5;0:01:47.02;0.0;0;0;0:01:46.62;0:01:50.03;0:06:58.62
5;0:01:47.03;1.875;2;1;0:01:46.62;0:01:50.03;0:06:58.62
5;0:01:47.03;3.0;2;2;0:01:46.62;0:01:50.03;0:06:58.62
5;0:01:47.03;3.375;3;1;0:01:46.62;0:01:50.03;0:06:58.62
5;0:01:47.03;4.5;3;3;0:01:46.62;0:01:50.03;0:06:58.62
5;0:01:47.03;4.5;3;2;0:01:46.62;0:01:50.03;0:06:58.62
5;0:01:47.04;7.0;5;3;0:01:46.62;0:01:50.03;0:06:58.62
5;0:01:47.04;7.0;5;2;0:01:46.62;0:01:50.03;0:06:58.62
5;0:01:47.05;7.375;6;4;0:01:46.62;0:01:50.03;0:06:58.62
5;0:01:47.06;7.375;6;3;0:01:46.62;0:01:50.03;0:06:58.62
5;0:01:47.06;7.375;6;2;0:01:46.62;0:01:50.03;0:06:58.62
5;0:01:47.06;7.75;7;5;0:01:46.62;0:01:50.03;0:06:58.62
