instance,runtime,objective,best
1,0:10:00,,
2,0:10:00,,
3,0:10:00,,
4,0:10:00,,
5,0:01:19.421324,2625,True
6,0:10:00,,
7,0:00:07.518969,10500,True
8,0:10:00,,
9,0:10:00,,
10,0:10:00,,
11,0:01:44.937000,3750,True
12,0:00:03.289000,6000,True
13,0:03:20.999996,0,True
14,0:06:16.385000,0,True
15,0:10:00,,
1,0:10:00,,
2,0:10:00,,
3,0:10:00,,
4,0:10:00,,
5,0:01:15.656000,2625,True
6,0:10:00,,
7,0:00:07.149998,10500,True
8,0:10:00,,
9,0:10:00,,
10,0:10:00,,
11,0:01:43.712975,3750,True
12,0:00:03.027000,6000,True
13,0:03:19.945976,0,True
14,0:06:16.489998,0,True
15,0:10:00,,
1,0:10:00,,
2,0:10:00,,
3,0:10:00,,
4,0:10:00,,
5,0:10:00,,
6,0:10:00,,
7,0:10:00,,
8,0:10:00,,
9,0:10:00,,
10,0:10:00,,
11,0:10:00,,
12,0:10:00,,
13,0:10:00,,
14,0:10:00,,
15,0:10:00,,
